seed,rmse,mae,nasa
42,12.719334844316188,9.341363906860352,8561.555
101,12.447496547020446,9.299637794494629,7791.6265
2024,12.445631886399253,9.350248336791992,8049.9565
7,12.663691388763537,9.541953086853027,10524.189
88,13.202092345896173,9.479557037353516,12045.025
123,12.396652237371828,8.970073699951172,10346.098
999,12.898630918257552,9.562592506408691,7733.5835
314,12.682568723980035,9.71584701538086,8588.133
500,12.466151681418793,8.947205543518066,9493.619
13,12.345232060948545,8.85339641571045,9043.433
