seed,rmse,mae,nasa
42,13.659385478326168,10.647120475769043,12084.838
101,13.12390655322467,9.967902183532715,13039.141
2024,13.730898264085706,10.638777732849121,13734.656
7,13.24337026889687,9.828426361083984,11390.317
88,13.058697160636015,9.623921394348145,12194.502
123,13.423325554619932,10.756110191345215,11826.463
999,12.840917418792554,9.77684497833252,10232.029
314,12.78328116023737,9.603694915771484,10511.121
500,13.79862728202208,10.845003128051758,14040.557
13,13.155695017799978,10.03450870513916,12584.445
