seed,rmse,mae,nasa
42,17.07602611044529,12.747407913208008,69360.625
101,19.214723441252755,14.43419361114502,129090.78
2024,18.487920168008944,13.986549377441406,109178.73
7,18.506651636240314,13.324772834777832,106246.625
88,18.20057402323868,13.728443145751953,95790.75
123,19.46635547197595,14.041009902954102,186678.86
999,18.43597054037636,13.899008750915527,128321.305
314,19.803378439231572,14.487995147705078,159902.28
500,18.922122566247936,13.940923690795898,133504.78
13,18.721663972636,13.828307151794434,133921.94
