seed,rmse,mae,nasa
42,12.66667141830623,9.260212898254395,7896.992
101,12.170173731796494,8.72106647491455,9271.414
2024,13.024214274600334,9.69688892364502,8215.601
7,12.877892622948956,9.638032913208008,7832.9053
88,13.129826702708764,9.77527904510498,9195.95
123,12.616584616981767,9.419614791870117,9289.098
999,12.961996429579422,9.653300285339355,7597.4316
314,12.263937359017227,8.852191925048828,8283.431
500,12.183848611673879,8.693449020385742,8932.225
13,12.79525504379425,9.305010795593262,8124.374
