Comparison,Shapiro p,Paired t p,Wilcoxon p,Significant (α=0.05)
Baseline LSTM vs Improved LSTM,0.2304,9.74e-01,7.70e-01,False
Baseline LSTM vs 1D-CNN,0.8248,1.23e-06,1.95e-03,True
Baseline LSTM vs Hybrid CNN-LSTM,0.8411,3.35e-03,5.86e-03,True
Improved LSTM vs 1D-CNN,0.0979,1.82e-06,1.95e-03,True
Improved LSTM vs Hybrid CNN-LSTM,0.3592,4.18e-03,3.91e-03,True
1D-CNN vs Hybrid CNN-LSTM,0.2743,2.43e-04,1.95e-03,True
