seed,rmse,mae,nasa
42,16.23307129780947,12.06224250793457,61671.914
101,15.852077966452606,11.73701286315918,53287.918
2024,15.506726189912113,11.677750587463379,48953.85
7,16.14955339788602,11.821271896362305,59688.43
88,15.769222578722918,11.657430648803711,57802.15
123,15.476458977127265,11.944643020629883,46452.547
999,15.700045854052018,11.888530731201172,43313.355
314,15.83799455528392,11.54381275177002,61749.918
500,16.366713895295803,11.788322448730469,75161.72
13,16.113642514889555,11.580492973327637,70881.81
