seed,rmse,mae,nasa
42,16.767037452152213,13.429866790771484,12722.223
101,14.880584950588458,11.918643951416016,10689.664
2024,15.097101885844266,11.839287757873535,10787.051
7,15.29845846550882,12.027144432067871,11365.188
88,18.408943225340995,14.838117599487305,14717.746
123,15.154630027793383,11.97402286529541,14299.893
999,17.292355051088055,14.244184494018555,13272.373
314,15.756235977160559,12.614285469055176,11137.801
500,14.738585629973803,11.873260498046875,12403.685
13,15.93660096269404,12.730313301086426,11531.709
