epoch,train_rmse,val_rmse,val_nasa
1,60.376978576466044,41.63843509720016,1.6959708e+06
2,35.784147125268504,20.46820058303665,119544.63
3,23.641178194437455,19.320970375222732,85902.8
4,22.42041413897642,16.71712170809093,49720.273
5,21.56327783853153,20.66314462162758,157935.44
6,20.630142889909287,19.022997941533657,112620.89
7,20.052869122889824,15.931459007523399,38704.496
8,20.372099066258542,17.00791298201829,72582.98
9,20.004073958200028,16.49177670023666,36453.83
10,19.978470309574387,18.499482843542292,107215.31
11,19.708275303579512,16.223508868004924,49442.332
12,19.806649809940367,15.748361169232867,41942.94
13,19.310122067227393,16.39596217620649,56177.066
14,19.36865236162696,15.586961021374114,38161.67
15,19.210580329328327,17.00094601859978,37846.008
16,19.198384858997734,15.576141873991483,35779.89
17,19.454771650570645,18.496048788884107,115877.58
18,19.33296057583197,15.527889141365076,40174.4
19,19.140262460614924,18.199842112768106,107247.89
20,19.064146239924117,15.95292987760203,49848.066
21,19.105708602400245,17.181228436747563,85316.14
22,18.988961956850023,16.710255398947286,70902.28
23,18.94555713952888,15.910016226673303,40050.055
24,18.8906261764627,16.894254423310052,73475.39
25,18.60241590780617,17.290765774097096,86654.78
26,18.65763298997622,15.917731976766655,52387.387
27,18.64475092412792,15.663727883738925,46056.4
28,18.49528807782599,15.665001530456955,54708.973
