epoch,train_rmse,val_rmse,val_nasa
1,81.826020252637,64.8844187225928,1.8366338e+06
2,51.162286232168505,41.807237325293784,798366.25
3,43.547217666230765,41.530541637111774,482726.84
4,42.708697361742004,38.029049661595046,297030.62
5,31.49043813229889,19.34480304963834,26657.844
6,24.371295543154883,17.601398655196142,17380.355
7,22.55007636683568,15.327446567714167,10587.986
8,20.70167953934908,15.298791595808872,21261.39
9,21.040799299453123,15.310541269014474,11622.852
10,19.9940201672053,13.289462075121541,9481.756
11,19.510795997728803,16.96978587998387,12549.207
12,19.65124653870753,14.092737673246925,8596.998
13,19.207351784157748,13.399131040723663,9614.391
14,19.249728704188716,12.762431348715028,8035.891
15,19.16273291262067,12.739270651164956,9545.6
16,18.7448832904269,13.62070054279027,8597.889
17,19.00139428329462,13.244196358504249,12397.779
18,18.99932447544073,12.80568606920867,9607.572
19,18.88307589764493,13.922943040015204,14776.599
20,18.931845448359322,12.602533576192625,10006.037
21,18.66302247681553,13.57324580595903,8430.344
22,18.494022917508456,13.557556095052965,9021.726
23,18.776214695060585,13.633028517271368,12976.214
24,18.696398253133474,12.574883122593029,10116.169
25,18.5298997954651,12.489997218477598,8185.1973
26,18.48572912994753,13.310084737254329,12040.505
27,18.833295512832528,12.339870335718432,8906.3545
28,18.60285089412597,14.120158488218957,17674.92
29,18.808150604213594,12.61239931881117,9265.834
30,18.790167449542707,15.77546885136758,10622.597
31,18.720301269050264,13.900543619407086,8796.652
32,18.342875380672957,13.023341425110532,8371.119
33,18.599581943698706,13.866288483182085,12854.276
34,18.21141461811795,12.845499258350726,10544.568
35,18.078508287198037,13.039150852569145,8919.546
36,18.30216764988866,12.373449363274084,7733.308
37,18.277402705379682,12.66667141830623,7896.992
