epoch,train_rmse,val_rmse,val_nasa
1,79.06032739381185,58.694037092658526,967311.5
2,47.06509683703977,41.75160661906842,585025.75
3,43.01962114786741,41.76405545591807,564416.06
4,43.08417690071258,41.74902196412435,590169.9
5,42.988166187037905,41.79490503535165,529645.0
6,43.12274488020505,40.24395365348766,485444.75
7,30.517050692996246,21.961877564591543,28961.975
8,24.37536863475163,18.653396976154237,19466.79
9,21.961993905466237,15.988694488307345,11753.478
10,20.551069390187777,14.09151195679568,10105.271
11,20.010903676459304,14.894571715949489,10146.606
12,19.5485647505825,12.944513898307521,10960.548
13,18.957469636652206,13.324706592872236,8974.908
14,18.821850803261732,13.24273655296113,10429.791
15,18.525228428446802,13.281497010570641,13603.377
16,18.562261412775996,12.967455107605865,8582.049
17,18.28827628410509,13.274900251398137,9119.797
18,18.561099844477425,12.271577476817365,7461.7637
19,17.931080946832324,12.59997495618481,7933.53
20,17.811527973198878,12.494229014508745,8117.634
21,17.884500981488358,12.512808379223117,9920.773
22,17.907871435312785,13.02861629373192,12389.369
23,18.006129180040674,12.77386455230311,9905.725
24,17.93577521028085,14.3099101692755,9238.721
25,17.82141976160651,12.060107690637162,8129.9756
26,17.746463655532462,12.400825448402934,8875.467
27,17.59384609335637,12.363452802917191,8704.339
28,17.52399987774606,12.463982533512437,10171.514
29,17.449763243770334,12.366306526581614,10394.813
30,17.49388207442101,11.871659943514771,8028.136
31,17.616441554467112,11.988043232404202,7595.927
32,17.425072157246454,12.192749770771819,8757.099
33,17.4098493249626,12.089406418786398,9418.59
34,17.497728604061248,12.371155420986163,8592.815
35,17.350800302712823,12.455813626207656,9703.831
36,17.48149340928688,12.701606012157908,7615.3438
37,17.512480239830786,12.018068697578931,8537.071
38,17.164779130988126,12.160126761729424,8192.961
39,17.197074130227612,12.35169159582283,8785.676
40,17.3304899704049,12.447496547020446,7791.6265
