epoch,train_rmse,val_rmse,val_nasa
1,58.72030841566081,41.628252148668516,1.6562629e+06
2,36.08652803389071,20.19368495617813,89015.56
3,23.258391656339732,20.080661622352146,110385.234
4,22.006182056807624,16.981921288086504,60083.81
5,20.80630429043424,17.473230432243525,79545.305
6,20.442991800503382,17.276445986877626,76375.516
7,20.037102054226104,16.261039857165596,38352.04
8,20.068016180706675,16.39754233204629,56223.22
9,19.461492787570016,15.595619838733466,43033.117
10,19.146996550435723,16.291854714221365,36157.17
11,19.344137930229575,16.126162938018318,37733.72
12,19.31469430761169,16.19883207655821,53225.633
13,19.04321539026811,15.402534454658854,38440.023
14,18.83440079860696,15.396666108950594,39514.188
15,18.660946134685815,15.395610114283086,37080.58
16,18.622763147031502,16.343806016873412,54182.977
17,18.755620874295186,16.775663387183176,74156.55
18,18.64545084401397,16.892535557705937,72864.91
19,18.460216104631716,15.829260586731657,36377.242
20,18.166395857899584,15.663072268419826,47775.055
21,18.140555643944143,15.589441472509677,45415.383
22,18.21528416781471,16.232337155543867,55747.496
23,18.094501142973,15.55228293977035,50129.008
24,18.020858225882364,15.861602656817924,50945.42
25,17.994360140527174,17.023683095406014,78230.22
