epoch,train_rmse,val_rmse,val_nasa
1,58.370315943053654,41.6727157067427,1.8046932e+06
2,37.72875452682426,20.156022891162397,95820.766
3,23.160447716403066,19.19183121794392,80646.21
4,21.645913253085382,16.412538787261383,47592.047
5,20.22058192632515,16.36270542001259,50042.133
6,20.07343104108124,16.37988581094775,53714.453
7,19.7483090707903,16.064683817682482,60183.715
8,19.70643514584512,16.324733312511093,52688.65
9,19.46809494396542,18.641022824233485,113201.28
10,19.27982432437239,16.12267197947699,47516.18
11,19.32406806988022,16.15151477240941,54828.17
12,19.179512957963112,17.484059076122563,87486.46
13,19.44524727225932,17.280235440098448,83562.95
14,18.88897868018976,15.50905172551838,37580.895
15,18.908823114692964,15.562400970756709,46514.0
16,18.844037775743203,15.573944418514424,42980.504
17,18.87971181853826,15.620233648020442,47977.04
18,18.83958027006533,15.972290363258558,54207.75
19,18.63077742463052,15.295574191371502,39096.92
20,18.6702853116955,15.685418344207863,47111.336
21,18.676484131879235,15.572034741523375,44887.84
22,18.71618859198463,16.795497763305125,74503.97
23,18.840300508955547,17.306510026768557,77716.91
24,18.484826059119474,15.678825259675468,48986.812
25,18.41219577755709,16.13615280189469,33888.88
26,18.4206190235214,16.202024093205047,58196.555
27,18.289646690530354,15.901321816832112,55938.39
28,18.324981163551147,16.086244836792044,55138.53
29,18.278296971803762,15.64373047263938,47448.383
