epoch,train_rmse,val_rmse,val_nasa
1,63.348943892590874,41.7122200530949,2.0357749e+06
2,36.37772361800841,22.927366258145664,130207.93
3,21.21808618201775,20.200265350109728,132763.19
4,20.26815239225671,19.2767172358931,109232.42
5,19.819865996119233,19.166329201201467,87034.664
6,19.0284093276094,17.54464085148003,58745.984
7,17.862462915188203,17.166589730593426,66693.08
8,17.281975853445733,19.002986472474447,113862.46
9,16.925927221990438,16.986538213207247,47970.54
10,16.526747611517756,16.992503589014078,63957.348
11,16.284819852962872,18.461792127382637,117225.625
12,16.034870543680213,16.994211445555514,61888.65
13,15.720743857165855,19.27963314356346,141144.72
14,15.292861320266573,17.912967081096237,107204.58
15,15.235209368485211,19.521728929339865,151558.52
16,14.726121636180816,18.440119980692742,121608.35
17,14.337651093951552,18.345855228163508,122931.98
18,14.154064164045383,18.443994651937608,127836.59
19,13.903482510664372,19.46635547197595,186678.86
