epoch,train_rmse,val_rmse,val_nasa
1,81.46458988918643,63.64812248679257,1.6214394e+06
2,50.09719501572955,41.755594392679136,716702.3
3,43.26279800035825,41.751059878481676,586139.3
4,43.28552983412357,41.75782053905442,573787.9
5,43.19610442639307,41.773283353699135,552675.2
6,43.14168833614105,41.751811279478495,709220.9
7,42.983424872157514,38.3179320425258,299787.44
8,29.237331634589104,19.92218213611283,22429.348
9,23.55674797720979,14.653321060948414,12172.5
10,20.728475182964157,15.996646052736287,15858.126
11,20.260639749483484,16.01377085303751,28867.643
12,19.87717159201561,14.4042014032853,11733.564
13,20.715147304554602,15.076243608335952,10190.078
14,19.562905069719424,12.933535350781776,11594.834
15,19.24567512943306,13.600248199890794,13895.452
16,19.397320205137287,12.94494178991686,10119.164
17,18.72396283455292,13.455543504480842,13802.817
18,18.648471146723125,14.435249714714736,9305.072
19,18.51501864802571,12.669954241374182,10281.199
20,18.52589388174736,12.195985002077464,8480.082
21,18.316062133753224,12.82205841059717,11778.886
22,18.58187129250639,15.156415612013994,24145.436
23,18.550452355883916,13.725807685919957,9275.731
24,18.17135331309747,12.18568446012446,8347.545
25,18.729448806705907,14.45702280633366,19927.059
26,18.66862767375955,12.514360037705496,10340.252
27,18.255764730036148,13.298360990336247,8343.788
28,17.934757648344668,12.644421435266114,10766.438
29,17.79409647842657,12.342862408752932,8791.076
30,17.665996339575265,12.533590122054266,9727.508
31,17.527332641077482,12.541333638751365,11278.496
32,17.343015711340033,13.42095638591006,8333.464
33,17.444686351295793,12.602870771557182,10471.818
34,17.414530245057946,12.663691388763537,10524.189
