epoch,train_rmse,val_rmse,val_nasa
1,66.70808986938619,41.62120941589981,1.6209236e+06
2,43.966281782922934,41.64036849123621,1.70261e+06
3,43.82653138603296,40.16017885692633,1.03738794e+06
4,28.0355529755176,19.525554638359107,70566.32
5,24.691981464442634,19.425741582630927,110435.086
6,22.78192291316904,16.01514957373613,51318.66
7,22.300297969356382,16.591827108749676,64942.7
8,22.11277930375983,15.844222383398003,43516.258
9,21.966974093883973,15.957540440927234,40811.918
10,21.692581996466146,16.136725841955595,52098.188
11,21.57894000439494,17.232559897051534,75833.41
12,21.625916564816333,16.588497616536227,52666.71
13,21.489933631060886,15.92521355454339,52503.656
14,21.556338204906826,16.047920943273695,47572.54
15,21.32493977947241,16.19048125750465,56363.496
16,21.26008499868374,15.913363981202787,49102.508
17,21.197457413845104,16.17819358747775,54355.594
18,21.052041292986537,16.14955339788602,59688.43
