epoch,train_rmse,val_rmse,val_nasa
1,60.235664251622545,34.259208388037806,143598.27
2,27.286764455918153,21.460863555569734,27287.25
3,23.877185753361868,20.219499388401736,23836.469
4,23.57508262846003,19.969288706788685,24418.459
5,24.015174271634525,22.31847346510285,28197.16
6,23.447721869598958,21.43521008064003,37853.57
7,23.48946786139701,19.82378578652817,22939.355
8,23.373636365374267,19.65952097933006,22178.016
9,23.213664650669905,19.724567504318614,21799.162
10,23.276308400524798,19.567786919120653,21557.918
11,23.139390620780773,19.187579524468752,22895.344
12,22.442415653996964,19.693128380730215,19922.916
13,22.13186737090329,18.570229510489785,19856.617
14,21.69737289826184,20.807729546654503,20751.723
15,21.88308280041118,17.7057803957868,20389.084
16,21.670466445606934,19.13491624050782,17562.889
17,21.036384569772387,18.01080930188825,16171.516
18,21.061052934087964,20.601104025283377,19683.227
19,20.53710964519886,17.480416812073678,15147.396
20,20.615637018501218,16.310644051508206,19378.195
21,20.02950796080377,16.47967201869473,13919.003
22,19.534302087019,17.860625776411084,17255.988
23,19.055257182270058,15.94344730486135,12237.664
24,19.09873626866054,17.441101358617306,13105.009
25,18.622811374121063,16.387668048337446,12262.577
26,18.62912829096266,16.13617455131143,13130.707
27,18.346094342934776,15.411889458139838,11273.743
28,18.48767680799153,16.02384602264456,11691.139
29,18.05586385336012,16.555093973596446,12055.198
30,18.056856541997146,15.465683388421555,12322.223
31,17.84098707173541,16.609953761670855,15630.353
32,18.16785463059538,15.407685064058231,11076.149
33,17.96075940164618,14.995237484508102,12427.785
34,18.15899521300323,15.416861757985759,21722.86
35,18.00701380150646,14.65616879308526,14165.431
36,17.605763305411056,17.26615701951816,13870.301
37,17.53186699780124,16.411265974290533,11653.186
38,17.535511241392943,15.40003331168399,11291.023
39,17.271797840279376,15.991376937354053,12744.933
40,17.45105716339864,15.675241004271424,12806.933
41,17.499921432768694,14.505191268317311,12894.833
42,17.370924563937624,17.71255196379992,13121.845
43,17.19957491392634,17.370883371646016,12389.721
44,17.758258084437035,14.923139876037,10804.096
45,17.22901277920877,16.31469337654567,11871.756
46,17.36118813480203,17.76435379137108,13182.57
47,17.352066719052804,17.455059658048025,12756.854
48,17.125055797679213,14.758151113604718,13919.664
49,16.896806497920707,14.809592174862283,12316.524
50,16.823360215949013,15.93660096269404,11531.709
