epoch,train_rmse,val_rmse,val_nasa
1,42.920885436040564,21.86052953303839,119450.5
2,23.52752078123056,20.48690675501482,80692.984
3,22.411397954370052,20.36384661058163,99032.47
4,22.313764875846875,20.133033049577765,96452.484
5,22.108376596689354,22.51232301429597,69860.59
6,22.084958988167752,20.012169759338004,106943.086
7,21.197596454927687,18.983399216177837,74025.016
8,20.76700936780902,19.072548741018217,95648.86
9,20.105046109260066,19.047193041079325,100908.94
10,19.512005407172705,17.953823623809043,73403.05
11,19.11893707303139,18.83302176338769,69119.13
12,18.941416611280616,17.793094384161286,51976.547
13,18.714621869971026,17.574675008663924,56634.844
14,18.507713798588327,17.899553414852893,47088.793
15,18.86219424333992,18.20596393500587,55312.734
16,18.165027075104597,17.867462489685337,51704.94
17,18.082194601748878,18.15157080544486,72402.94
18,17.94634330395563,17.95798845542658,65904.89
19,17.838046636867173,17.990731290125915,52753.867
20,17.412552296797035,18.027603177304503,66704.97
21,17.24163811157225,19.23038027795513,114957.9
22,17.138233676468136,18.74234544274842,101439.29
23,17.11859149084516,19.105376504454266,111348.516
