epoch,train_rmse,val_rmse,val_nasa
1,60.22618213097325,40.99592681749005,1.4370808e+06
2,30.397919797515737,20.11116642297453,105808.83
3,19.600566929589668,17.725114597654933,67567.99
4,18.148222439783467,17.325622212740118,78044.484
5,17.67288904720278,17.19415442914257,83482.66
6,17.29041434336991,18.474665435115547,113353.61
7,16.877450900146915,17.36407522439469,78581.72
8,16.66050700068138,16.71355059338081,63688.527
9,16.33378613898571,18.0599739393889,98418.93
10,16.398042545176406,18.24278388345264,95316.25
11,15.947269154832002,17.32899411002365,76149.52
12,15.738752805282482,18.920208883604293,112658.94
13,15.37759804647265,16.567136180423674,57436.77
14,15.09289889884303,17.578936613207635,92288.59
15,14.879536333279933,18.148832660893785,94917.33
16,14.814927080711346,18.002470906523758,93304.086
17,14.674338566741621,17.678237484726985,101018.234
18,14.312755242180252,17.424524217018185,73705.42
19,14.26630857052222,18.536578333881497,130874.6
20,13.493507420139462,19.514426348047216,166092.12
21,13.368933702328347,18.668338609932007,117319.305
22,13.298458004449321,18.99784196343306,143823.03
23,13.208615478400556,18.506651636240314,106246.625
