epoch,train_rmse,val_rmse,val_nasa
1,65.2006788989907,41.628530724882665,1.6552615e+06
2,36.10418794287974,20.689680923796665,134663.9
3,20.62961952087072,18.394555721076312,93603.17
4,18.78683121494056,19.331978761420963,119869.92
5,18.13038643281323,17.00765908434482,61450.742
6,17.50366090699256,22.259910176688017,236799.1
7,17.24555181909358,18.858793260756457,114551.7
8,17.085531190677013,16.99108383628427,71039.89
9,16.572332231052126,16.42397480033952,59063.37
10,16.498945330753827,18.465864701651192,109421.516
11,16.288659589182405,17.76339517118877,84493.805
12,16.1170130030179,18.687985825363427,115426.47
13,15.876198511412328,17.861875610970895,73362.7
14,15.728644546635461,17.517158162159895,82663.99
15,15.579342942203501,17.110498678853943,68782.25
16,15.067465686108363,18.363277510768604,111085.555
17,14.834668547331992,17.660348494170403,88290.59
18,14.682760964843675,18.347792223921317,110607.586
19,14.61534453452567,17.07602611044529,69360.625
