epoch,train_rmse,val_rmse,val_nasa
1,62.1031459111359,41.21416086327687,1.3588931e+06
2,29.151210216541216,20.398595335228126,128363.445
3,20.0043222234499,18.291709581236436,71802.766
4,18.44708101626716,17.401276184285937,62506.285
5,17.751589962016322,17.329569970467475,64804.57
6,17.20821574390262,17.1244831981782,70657.31
7,16.853658837219378,18.505549242948806,87893.43
8,16.687326062376666,18.86932732430796,100061.4
9,16.39857632188424,17.244962537221014,75648.984
10,16.054996817005474,18.040891188708294,91513.37
11,16.0252557411521,17.248243159517543,66462.664
12,15.635219126631586,17.7887502717439,77642.11
13,15.20490457477,17.84307956271142,94587.74
14,15.064156609587588,17.752790204883112,88729.234
15,14.891976756685564,17.70198377279189,92734.23
16,14.691302193764361,19.803378439231572,159902.28
