epoch,train_rmse,val_rmse,val_nasa
1,63.50899000550426,41.60920777754607,1.5329788e+06
2,39.939542403058994,22.822744917009324,199411.3
3,24.53620146639968,18.805065625093217,81897.8
4,22.873185072342366,16.82205779380064,48677.46
5,22.22505926977335,16.432973028002646,43733.133
6,21.67633488273033,19.103653707103714,115263.95
7,21.65492566241547,16.63958971984952,71754.31
8,21.266888899168894,16.927396231082398,54378.945
9,21.141765648750972,16.57147641480403,62811.68
10,20.969398314177315,15.824132929907991,37612.92
11,20.923170447194895,16.077475843309095,53316.86
12,20.696927214686674,15.596210782478042,36776.32
13,20.71652583884498,15.863593862346962,47184.336
14,20.72005233506036,18.507176012694206,108459.81
15,20.58673251061285,19.68853621404987,132809.88
16,20.569042834527135,17.258326193407253,79813.766
17,20.32939914752999,15.516920145151731,37378.562
18,20.638470406574637,16.141610986038827,40109.47
19,20.280487967691244,15.640559635540239,48111.6
20,20.60417015830263,15.447664073165976,41403.156
21,20.26371218422647,15.734344936974756,45394.133
22,20.257650722644538,16.570771077459327,60366.227
23,20.12403644854378,17.17586520263199,85795.03
24,20.216536082999006,15.44981183675114,35928.88
25,20.01723445373915,16.102686384236094,52695.086
26,20.148510489410235,16.022321389700174,37241.367
27,19.805127349803108,15.658678547923113,45387.516
28,19.84911944829885,16.372969406838383,63392.508
29,19.78415190593869,16.414786655551318,53953.832
30,19.641749418191758,16.57449079511004,66111.82
