epoch,train_rmse,val_rmse,val_nasa
1,81.63779727292008,65.75072777639043,2.0023212e+06
2,51.357539996923286,42.149504012224895,1.112528e+06
3,41.844353367592966,41.73810851186764,600809.75
4,41.35817714639056,39.93719128890857,451055.5
5,33.77957140483205,21.534684703140464,36476.938
6,21.500522559494613,19.254808494152424,22327.031
7,20.51091709559155,18.48546462342102,18465.84
8,20.11649171245926,17.408795538731994,23179.865
9,19.317711805041316,16.12486752004687,16062.316
10,18.039030260049977,14.83770744609353,11874.013
11,17.310250775780467,14.93525557634885,16850.47
12,16.674039041005784,14.318792966980492,12625.686
13,16.463968037212908,13.56335784027393,13308.398
14,16.05150912668002,13.595283790087201,15119.867
15,15.538167548548245,13.60237244501166,12523.469
16,15.351088501762746,13.521858321466777,11872.377
17,15.314440821553388,13.658084004244234,15289.072
18,15.052744788795373,14.05290525543256,12665.471
19,14.851831243948576,13.551758058804584,16020.57
20,14.919023606462575,12.939947071940031,10878.91
21,14.820824407868406,13.671692521103653,19063.36
22,14.988350490939956,13.3818005537211,12755.168
23,14.590614207091063,14.829764690525847,20609.406
24,14.368523736327509,12.966093007189704,10376.801
25,14.30795264696777,13.49503206750283,14347.672
26,13.994315835610848,13.12799154430352,9793.739
27,13.960667232377329,13.128368708312783,15139.268
28,13.709352817785105,13.784063142938502,15437.244
29,13.652490231334856,13.019279269238742,12172.606
30,13.468736152870143,13.79862728202208,14040.557
