epoch,train_rmse,val_rmse,val_nasa
1,60.286735314058774,35.217264761827934,117050.57
2,27.835227713893318,22.306975719973437,29382.184
3,24.119770836132947,20.78103045584219,23865.719
4,23.456069283264046,20.02928306694429,21775.8
5,23.707560922898,19.85627757242538,21554.342
6,23.83177244505459,19.619543398211306,23171.467
7,23.29378382851957,20.151647518381175,21755.344
8,22.913947564345087,19.384608095235233,21629.043
9,23.18066456907742,20.57088737684165,22345.516
10,22.770876250023488,19.721609836198716,20845.395
11,22.782662028809437,19.308834382351467,20819.262
12,22.784446743249983,20.198431214704677,21535.463
13,22.570748291837543,19.143578375465182,19984.387
14,21.873894624142256,18.339733509386456,18234.367
15,21.113676311168224,17.92433879915013,16458.494
16,20.856436183267842,17.193394763290005,16610.033
17,20.703755280032222,19.594380005072964,18131.398
18,20.467291326015275,16.82949049996111,17259.25
19,20.29320610029164,18.073213666807952,15949.29
20,20.060349698674592,17.044616493662026,14519.949
21,19.723781167681683,18.698712407626495,16208.036
22,20.259752227235964,15.717561771689494,15489.43
23,19.60487616507662,17.81976705516631,14528.416
24,19.954063983925895,18.455347558786993,14990.392
25,19.32490999432911,16.73475978490859,12800.193
26,19.059869805614923,16.03705882820709,20548.773
27,18.78166605958946,15.102598641219776,12065.334
28,18.604704940902412,15.495834775375679,11609.902
29,18.572948104152847,15.59843640438742,12757.366
30,18.630462960793142,17.46355283126072,13812.086
31,18.08077168070068,16.22221840171827,16932.0
32,18.46879332148242,15.499291680671703,11819.098
33,18.071203760601392,14.703161841578444,14433.979
34,17.996752453213528,14.795490010750003,15694.642
35,18.343910268901745,15.87641720190501,12744.0
36,18.144359087332273,16.482970726619925,11946.408
37,17.88514469300171,14.626780866132485,12681.971
38,17.77452658024377,14.640528072984914,12024.2
39,17.882609002975958,14.568295876696649,14022.541
40,17.827366013504133,15.901483027553937,11713.721
41,17.5567327198152,16.35325051756483,11984.779
42,17.546435183190408,15.420746519470885,11261.669
43,17.400387261279082,18.453981642901958,14675.137
44,17.41787945914619,15.042977371946373,11974.24
45,17.201426110639485,16.396777399294997,11745.532
46,17.003984860468826,15.463253639993287,11198.441
47,17.050981987246196,16.396508454605605,12116.212
48,17.184058784139914,15.12456467687712,11250.834
49,17.06666452589745,16.767037452152213,12722.223
