epoch,train_rmse,val_rmse,val_nasa
1,80.76229621767835,62.59260717254275,1.4559566e+06
2,49.526111828045906,41.75619661864197,718060.7
3,43.36004996952568,41.81781601576205,513518.2
4,43.38046244491514,41.741541936567074,674008.25
5,43.26930254349572,41.7471009121629,594597.44
6,43.21664533294228,41.74449843289607,691298.9
7,41.95495789490977,29.45658654227703,54375.293
8,26.782168507395745,18.937184145468276,24656.97
9,23.11823106293198,14.46224585518381,10750.357
10,21.807066256703777,16.82063726172778,23766.426
11,20.233333220317665,13.154059510896662,11044.096
12,20.29567011213584,14.338249664529586,15358.125
13,19.761486670557314,13.93900855414962,9503.476
14,19.755609922463186,12.628738907219468,9243.158
15,19.853313236034726,14.406555569732449,17943.05
16,19.36121128296431,13.586318236111305,15798.409
17,19.0926966178835,12.412683313097535,9956.742
18,19.244783909520738,13.212148474399246,7957.368
19,19.558512641932907,12.652237018112647,8567.581
20,18.990917091980663,12.99861489766554,8220.242
21,18.98665662487304,12.622697374716383,7903.0537
22,18.69409548663273,13.225787803102518,12978.523
23,19.23970468853212,12.765754092064538,10483.535
24,18.707120105864902,12.487260964733908,7781.091
25,18.641682729721794,12.136337799782506,7580.4995
26,18.546988152747463,12.895081497650748,7846.654
27,18.57853576504326,12.60699387465799,9662.24
28,18.874058154338268,12.744929483487248,7616.758
29,18.336616923941133,12.669967488982559,8018.2305
30,18.596161401532243,12.670721977636882,8249.34
31,18.813565426391943,12.350209692282936,8530.229
32,18.48868365558773,11.990150860242217,8534.891
33,18.55406328387742,12.227381162687955,7744.539
34,18.490561116574938,12.262858590298759,7654.9097
35,18.485239964860824,12.375684931132032,8644.853
36,18.11980506133658,12.45825059197719,7661.4937
37,18.485053320935783,12.463857049242234,8609.45
38,18.265523914802284,12.740188114328475,10657.611
39,18.112055769497807,12.616890597319395,9825.977
40,17.901052643863462,12.419089949187727,8631.738
41,18.008391933359526,12.293663216203603,7955.9346
42,17.999370096195197,12.345232060948545,9043.433
