epoch,train_rmse,val_rmse,val_nasa
1,81.95234487380924,66.03576800681581,2.0597342e+06
2,51.62583656765341,42.02749605680414,1.0155015e+06
3,41.85655553451128,41.83859483273936,838328.25
4,37.88586794433652,23.133823010688133,42114.133
5,21.64136338194603,18.72982475756831,30861.969
6,20.598936188921122,17.655084136010494,20013.047
7,19.944085139390214,16.99321656366703,23081.564
8,19.38049188636041,16.57175448994463,19028.525
9,18.10495210390459,15.70546274576441,12360.136
10,17.0615072795455,14.682656386348157,14507.869
11,15.983280911051288,13.812166373940268,13566.499
12,15.493474336295996,12.663109999458998,9865.357
13,15.307823929807471,13.923648811134973,15117.07
14,15.281558322710525,12.94904965481601,11689.393
15,15.190211141686113,13.619051413419628,13359.531
16,14.824873992790046,13.506262562899062,13606.379
17,14.824028915054868,13.377272368297843,12556.834
18,14.571273045472772,13.259528422766046,13031.889
19,14.08584255561756,12.438474070682112,9401.962
20,14.10088060946221,12.404999715612085,9601.977
21,13.977815641791361,12.605819181873654,10743.49
22,13.991809241640789,12.909597780091756,11444.156
23,13.919138198440344,12.531765667966981,8850.927
24,13.827357925306874,12.706158828220618,10780.848
25,13.649670319204324,14.08973382875753,18056.262
26,13.747734942788542,12.611548178591615,10099.772
27,13.448214032284314,13.273267936858383,12374.627
28,13.266790484891807,13.205655730092268,12169.873
29,13.315070385469616,12.961151765106564,11927.104
30,13.210042640123127,13.058697160636015,12194.502
